Date, Open, High, Low, Close, Volume, Open Interest
2021-02-02 23:00:00, 57.8943, 58.33, 57.38, 57.69, 18015429, 0.0
2021-02-03 23:00:00, 57.61, 58.88, 57.19, 58.8, 23281133, 0.0
2021-02-04 23:00:00, 59, 59.08, 58.12, 58.14, 17739800, 0.0
2021-02-07 23:00:00, 58.375, 59.22, 57.95, 59.2, 20512866, 0.0
2021-02-08 23:00:00, 58.77, 59.31, 57.935, 58.78, 24615765, 0.0
2021-02-09 23:00:00, 59.3, 59.42, 58.12, 58.8817, 13916256, 0.0
2021-02-10 23:00:00, 59.095, 60.99, 58.86, 60.66, 24898331, 0.0
2021-02-11 23:00:00, 60.6, 62.51, 60.43, 61.84, 24381399, 0.0
2021-02-15 23:00:00, 62, 62.87, 61.7, 62.46, 20753013, 0.0
2021-02-16 23:00:00, 61.49, 62.185, 61.21, 61.84, 16611161, 0.0
2021-02-17 23:00:00, 60.645, 61.98, 60.64, 61.61, 16174149, 0.0
2021-02-18 23:00:00, 61.91, 63.26, 61.85, 63.01, 23925977, 0.0
2021-02-21 23:00:00, 61.88, 62.7, 60.66, 60.71, 28720212, 0.0
2021-02-22 23:00:00, 60.48, 61.495, 59.17, 61.12, 25015212, 0.0
2021-02-23 23:00:00, 60.53, 63.28, 60.38, 63.2, 21316733, 0.0
2021-02-24 23:00:00, 62.405, 63.54, 60.13, 60.39, 31128661, 0.0
2021-02-25 23:00:00, 60.89, 61.69, 59.68, 60.68, 26188565, 0.0
2021-02-28 23:00:00, 61.72, 63.08, 61.65, 62.88, 24090565, 0.0
2021-03-01 23:00:00, 62.8, 63.14, 61.11, 61.23, 19686738, 0.0
2021-03-02 23:00:00, 60.64, 61.52, 59.7, 59.87, 24255077, 0.0
2021-03-03 23:00:00, 59.83, 60.235, 57.905, 58.34, 36014941, 0.0
2021-03-04 23:00:00, 59.26, 61.175, 58.51, 60.73, 34320284, 0.0
2021-03-07 23:00:00, 60.4677, 61.695, 59.72, 59.84, 24959821, 0.0
2021-03-08 23:00:00, 61.18, 63.165, 60.84, 62.67, 28393282, 0.0
2021-03-09 23:00:00, 63.22, 64.12, 62.13, 62.23, 24300268, 0.0
2021-03-10 23:00:00, 62.94, 64.09, 62.39, 63.32, 25616010, 0.0
2021-03-11 23:00:00, 62.65, 63.3, 62.24, 62.89, 17930133, 0.0
2021-03-14 23:00:00, 63.61, 63.875, 62.48, 63.8, 16430433, 0.0
2021-03-15 23:00:00, 64.15, 65.7302, 64.08, 64.79, 26955179, 0.0
2021-03-16 23:00:00, 64.2235, 66.29, 63.71, 65.78, 26367233, 0.0
2021-03-17 23:00:00, 65.63, 65.7, 63.65, 63.72, 24649779, 0.0
2021-03-18 23:00:00, 63.18, 64.99, 62.92, 63.73, 32700052, 0.0
2021-03-21 23:00:00, 64.82, 66.38, 64.56, 65.66, 27189513, 0.0
2021-03-22 23:00:00, 66.11, 66.05, 63.17, 63.48, 25819631, 0.0
2021-03-23 23:00:00, 66.58, 67.44, 61.99, 62.01, 68481060, 0.0
2021-03-24 23:00:00, 61.655, 62.44, 60.975, 62.005, 30082963, 0.0
2021-03-25 23:00:00, 61.8, 64.97, 61.77, 64.88, 28392962, 0.0
2021-03-28 23:00:00, 64.07, 65.125, 63.61, 64.51, 21638650, 0.0
2021-03-29 23:00:00, 63.77, 64, 63.15, 63.78, 16949934, 0.0
2021-03-30 23:00:00, 64.01, 64.4899, 63.58, 64.08, 25019221, 0.0
2021-03-31 23:00:00, 64.725, 64.89, 63.575, 64.56, 24615256, 0.0
2021-04-04 23:00:00, 64.87, 66.74, 64.7, 66.53, 19861285, 0.0
2021-04-05 23:00:00, 66.05, 66.575, 65.29, 65.57, 17369670, 0.0
2021-04-06 23:00:00, 65.67, 66.57, 65.36, 66.24, 15291118, 0.0
2021-04-07 23:00:00, 66.97, 67.29, 66.36, 67.05, 14928613, 0.0
2021-04-08 23:00:00, 66.9, 68.4, 66.63, 68.26, 21282734, 0.0
2021-04-11 23:00:00, 68.18, 68.49, 64.71, 65.4, 45330788, 0.0
2021-04-12 23:00:00, 65.67, 65.6346, 64.21, 65.23, 22503213, 0.0
2021-04-13 23:00:00, 65.35, 65.38, 63.84, 64.23, 18708831, 0.0
2021-04-14 23:00:00, 63.96, 65.215, 63.6799, 65.04, 20566051, 0.0
2021-04-15 23:00:00, 65.33, 65.52, 64.57, 64.75, 18884919, 0.0
2021-04-18 23:00:00, 64.72, 64.74, 63.07, 63.64, 17501966, 0.0
2021-04-19 23:00:00, 63.6, 63.76, 62.41, 62.71, 14842786, 0.0
2021-04-20 23:00:00, 62.67, 63.775, 62.3, 63.66, 14747338, 0.0
2021-04-21 23:00:00, 63.43, 63.91, 62.28, 62.57, 29014234, 0.0
2021-04-22 23:00:00, 59.16, 60, 57.9, 59.25, 71451596, 0.0
2021-04-25 23:00:00, 59.13, 59.52, 58.46, 58.74, 33913465, 0.0
2021-04-26 23:00:00, 58.55, 58.63, 57.77, 57.97, 29578146, 0.0
2021-04-27 23:00:00, 57.52, 58.16, 57.15, 57.61, 27080716, 0.0
2021-04-28 23:00:00, 57.97, 58.3, 57.47, 58.29, 19219312, 0.0
2021-04-29 23:00:00, 57.61, 58.43, 57.07, 57.55, 24239357, 0.0
2021-05-02 23:00:00, 57.82, 57.8768, 56.84, 57.26, 19420532, 0.0
2021-05-03 23:00:00, 56.88, 56.98, 55.81, 56.95, 29454633, 0.0
2021-05-04 23:00:00, 57.04, 57.3, 56.46, 56.84, 17212690, 0.0
2021-05-05 23:00:00, 56.56, 57.25, 56.245, 57.1917, 17706390, 0.0
2021-05-06 23:00:00, 57.7, 58.01, 57.24, 57.67, 16766510, 0.0
2021-05-09 23:00:00, 57.1465, 57.23, 55.88, 55.99, 22410554, 0.0
2021-05-10 23:00:00, 55.04, 55.63, 54.3, 55.04, 31428550, 0.0
2021-05-11 23:00:00, 54.44, 54.65, 53.42, 53.62, 24808628, 0.0
2021-05-12 23:00:00, 54.05, 54.39, 53.46, 54.02, 25122529, 0.0
2021-05-13 23:00:00, 54.64, 55.8467, 54.255, 55.33, 22084012, 0.0
2021-05-16 23:00:00, 55.36, 55.89, 54.76, 55.34, 13542837, 0.0
2021-05-17 23:00:00, 55.95, 56.14, 54.8, 54.84, 14789481, 0.0
2021-05-18 23:00:00, 54.07, 55.43, 53.8418, 55.37, 17467928, 0.0
2021-05-19 23:00:00, 55.64, 56.24, 55.36, 55.95, 16798422, 0.0
2021-05-20 23:00:00, 56.43, 56.71, 55.9801, 56.09, 14537474, 0.0
2021-05-23 23:00:00, 56.53, 57.39, 56.4, 56.96, 15338494, 0.0
2021-05-24 23:00:00, 57.56, 57.56, 56.42, 56.88, 18052769, 0.0
2021-05-25 23:00:00, 57.08, 57.23, 56.71, 56.73, 5978076, 0.0
