Date, Open, High, Low, Close, Volume, Open Interest
2020-07-15 23:00:00, 604.7, 612.77, 596.3581, 604.1, 614978, 0.0
2020-07-16 23:00:00, 610, 654.8, 606.36, 650.99, 1327334, 0.0
2020-07-19 23:00:00, 645.44, 671.63, 631.57, 667.54, 984901, 0.0
2020-07-20 23:00:00, 667.2318, 675.063, 652.55, 658.38, 997787, 0.0
2020-07-21 23:00:00, 669.45, 684.845, 660.02, 681, 958517, 0.0
2020-07-22 23:00:00, 684.79, 699.7199, 675.7055, 687.14, 474165, 0.0
2020-07-23 23:00:00, 665.13, 677.1, 658.98, 675.35, 715597, 0.0
2020-07-26 23:00:00, 673.07, 689.83, 668.08, 685.35, 483766, 0.0
2020-07-27 23:00:00, 680, 685, 674.25, 679.53, 360926, 0.0
2020-07-28 23:00:00, 682.72, 704, 680.005, 696.56, 730579, 0.0
2020-07-29 23:00:00, 688.96, 692.29, 680.11, 686.77, 489791, 0.0
2020-07-30 23:00:00, 687.85, 690.64, 675.72, 685.44, 395577, 0.0
2020-08-02 23:00:00, 685.75, 693.24, 685.37, 689.3, 307900, 0.0
2020-08-03 23:00:00, 687.23, 689.4099, 681.5, 683.35, 307949, 0.0
2020-08-04 23:00:00, 687.65, 697.565, 685.32, 692.24, 311112, 0.0
2020-08-05 23:00:00, 690.2, 692.53, 676.09, 691.19, 261054, 0.0
2020-08-06 23:00:00, 691.02, 694.1, 680.02, 685.86, 301632, 0.0
2020-08-09 23:00:00, 683.87, 685.3, 675.99, 682.7, 211574, 0.0
2020-08-10 23:00:00, 685.99, 685.99, 671.6243, 674.49, 268040, 0.0
2020-08-11 23:00:00, 676.24, 685.995, 672.77, 683.02, 411152, 0.0
2020-08-12 23:00:00, 682.72, 694, 680.088, 690.69, 225115, 0.0
2020-08-13 23:00:00, 692.54, 692.54, 681.35, 684.52, 227919, 0.0
2020-08-16 23:00:00, 685.02, 695.06, 684.34, 694.16, 305196, 0.0
2020-08-17 23:00:00, 691.63, 696.195, 690.735, 693.05, 343852, 0.0
2020-08-18 23:00:00, 695, 699, 689.66, 691.41, 413501, 0.0
2020-08-19 23:00:00, 689.25, 695.205, 687.01, 693.25, 224213, 0.0
2020-08-20 23:00:00, 690.54, 694.975, 686.6825, 693.88, 421419, 0.0
2020-08-23 23:00:00, 699, 701.96, 689.29, 696.19, 454100, 0.0
2020-08-24 23:00:00, 695.78, 700.85, 694.183, 699.4, 402705, 0.0
2020-08-25 23:00:00, 700, 701.48, 692.79, 699.6, 435741, 0.0
2020-08-26 23:00:00, 700.83, 718.11, 692.115, 708.91, 795804, 0.0
2020-08-27 23:00:00, 713.34, 729.95, 708.69, 727.25, 560743, 0.0
2020-08-30 23:00:00, 723.17, 734.45, 721, 730.52, 467125, 0.0
2020-08-31 23:00:00, 732.45, 742.44, 727.31, 741.95, 450086, 0.0
2020-09-01 23:00:00, 742.01, 778.83, 738.33, 764.43, 996747, 0.0
2020-09-02 23:00:00, 752.86, 756.98, 724.13, 741.61, 984715, 0.0
2020-09-03 23:00:00, 743.11, 749.8476, 717.7529, 735.13, 749106, 0.0
2020-09-07 23:00:00, 710, 717.87, 692.025, 694.19, 909757, 0.0
2020-09-08 23:00:00, 703.36, 726.7089, 702.155, 719.15, 493649, 0.0
2020-09-09 23:00:00, 723.82, 728.69, 701.27, 705.56, 362303, 0.0
2020-09-10 23:00:00, 713.83, 715.53, 697.99, 702.36, 364215, 0.0
2020-09-13 23:00:00, 712.41, 722.14, 711.1405, 716.33, 291855, 0.0
2020-09-14 23:00:00, 724.25, 726.1575, 711.135, 715.57, 316883, 0.0
2020-09-15 23:00:00, 720.32, 723.53, 689.66, 691.9, 683563, 0.0
2020-09-16 23:00:00, 685.21, 690.29, 673.49, 680.73, 707857, 0.0
2020-09-17 23:00:00, 679, 685.146, 649.4216, 654.61, 1032363, 0.0
2020-09-20 23:00:00, 648.1, 648.1, 633.29, 641.95, 673026, 0.0
2020-09-21 23:00:00, 648.46, 667.44, 641.64, 665.95, 1151762, 0.0
2020-09-22 23:00:00, 675.63, 676.2, 655.18, 657.61, 513021, 0.0
2020-09-23 23:00:00, 652.14, 663.68, 647.54, 657.53, 355712, 0.0
2020-09-24 23:00:00, 654.66, 677.92, 653, 673.73, 417043, 0.0
2020-09-27 23:00:00, 685, 695.56, 680.03, 693.7, 501463, 0.0
2020-09-28 23:00:00, 698, 715.89, 690.55, 692.93, 446237, 0.0
2020-09-29 23:00:00, 696.14, 717.89, 690.55, 708.74, 375827, 0.0
2020-09-30 23:00:00, 713.11, 718.4273, 704.015, 710.53, 308034, 0.0
2020-10-01 23:00:00, 700.08, 707.57, 692.101, 696.28, 390813, 0.0
2020-10-04 23:00:00, 699.1, 708.56, 696.822, 707.57, 275126, 0.0
2020-10-05 23:00:00, 709.53, 716.22, 696.295, 699.02, 256303, 0.0
2020-10-06 23:00:00, 708.44, 721.99, 708.44, 720.25, 290415, 0.0
2020-10-07 23:00:00, 725, 728.62, 720.12, 723.18, 287641, 0.0
2020-10-08 23:00:00, 730.185, 741.27, 728, 738.72, 288370, 0.0
2020-10-11 23:00:00, 748.74, 759.025, 743.23, 755.67, 578492, 0.0
2020-10-12 23:00:00, 755.92, 761.05, 749.73, 755.94, 419662, 0.0
2020-10-13 23:00:00, 759.31, 766.18, 746.44, 751.32, 495676, 0.0
2020-10-14 23:00:00, 743.99, 755.3953, 740, 741.18, 731981, 0.0
2020-10-15 23:00:00, 722.99, 760.8826, 716.28, 753.43, 813207, 0.0
2020-10-18 23:00:00, 755.25, 771.62, 729.37, 736.8, 391977, 0.0
2020-10-19 23:00:00, 736.12, 745.55, 729.9, 733.38, 314541, 0.0
2020-10-20 23:00:00, 730.8, 734.66, 722.59, 728.48, 353046, 0.0
2020-10-21 23:00:00, 729.62, 738.34, 723.89, 732.94, 207923, 0.0
2020-10-22 23:00:00, 738.33, 739.995, 727.495, 735.87, 172879, 0.0
2020-10-25 23:00:00, 727.08, 729.7654, 700.68, 711.76, 343168, 0.0
2020-10-26 23:00:00, 713.52, 728.05, 711.37, 720.98, 231132, 0.0
2020-10-27 23:00:00, 704.32, 705.14, 687.8, 687.8, 416618, 0.0
2020-10-28 23:00:00, 690, 694.47, 683.3666, 686.15, 748399, 0.0
2020-10-29 23:00:00, 682.2, 686, 653, 667.46, 796445, 0.0
2020-11-01 23:00:00, 680.62, 683, 669.29, 676.2, 466235, 0.0
2020-11-02 23:00:00, 684, 696.78, 680.82, 681.24, 525646, 0.0
2020-11-03 23:00:00, 708.68, 717.96, 700.7073, 709.76, 747690, 0.0
2020-11-04 23:00:00, 730.24, 734.79, 718.665, 728.62, 382597, 0.0
2020-11-05 23:00:00, 729.41, 737.395, 720.25, 733.23, 291543, 0.0
2020-11-08 23:00:00, 755.78, 792.54, 755.78, 773.45, 926895, 0.0
2020-11-09 23:00:00, 771.04, 771.71, 742, 749.94, 515202, 0.0
2020-11-10 23:00:00, 755.07, 759.8302, 736.12, 736.74, 420659, 0.0
2020-11-11 23:00:00, 744.745, 751.78, 736.97, 740.75, 317248, 0.0
2020-11-12 23:00:00, 748.33, 754.33, 744.73, 754.27, 124459, 0.0
2020-11-15 23:00:00, 760, 764.04, 748.12, 758.39, 392910, 0.0
2020-11-16 23:00:00, 747.97, 752.28, 740.645, 749.37, 299516, 0.0
2020-11-17 23:00:00, 747.24, 747.73, 733, 733, 319124, 0.0
2020-11-18 23:00:00, 730.76, 737.43, 723.49, 733.35, 311129, 0.0
2020-11-19 23:00:00, 731.01, 735.255, 726.63, 730.86, 297461, 0.0
2020-11-22 23:00:00, 731.48, 734.045, 713.07, 719.62, 354477, 0.0
2020-11-23 23:00:00, 726.9, 728.65, 721.02, 724.8, 387319, 0.0
2020-11-24 23:00:00, 729.3, 732.74, 724.87, 726.43, 255506, 0.0
2020-11-26 23:00:00, 735.37, 735.57, 726, 729.13, 229649, 0.0
2020-11-29 23:00:00, 725.41, 733.89, 721, 726.3725, 492074, 0.0
2020-11-30 23:00:00, 733.3, 736.52, 721.85, 733.83, 428004, 0.0
2020-12-01 23:00:00, 731.01, 754.2, 731.01, 751.85, 495458, 0.0
2020-12-02 23:00:00, 751.99, 764.25, 748.87, 759.02, 471932, 0.0
2020-12-03 23:00:00, 753.47, 781.895, 753.47, 780.34, 483388, 0.0
2020-12-06 23:00:00, 778, 780.53, 762.32, 764.39, 340530, 0.0
2020-12-07 23:00:00, 762.86, 767.58, 755, 765.35, 327506, 0.0
2020-12-08 23:00:00, 767.61, 767.61, 750.1, 754.37, 318859, 0.0
2020-12-09 23:00:00, 755.6, 766.8, 748.08, 758, 305586, 0.0
2020-12-10 23:00:00, 754.15, 761.9, 745.88, 760.26, 397629, 0.0
2020-12-13 23:00:00, 764, 780.63, 762.05, 764.06, 442165, 0.0
2020-12-14 23:00:00, 757.01, 771.56, 755, 768.52, 327504, 0.0
2020-12-15 23:00:00, 765.75, 769.96, 762.055, 766.59, 221625, 0.0
2020-12-16 23:00:00, 771.38, 781.245, 767.25, 779.37, 338007, 0.0
2020-12-17 23:00:00, 786.79, 790.8, 775.0399, 789.81, 389952, 0.0
2020-12-20 23:00:00, 778.01, 789.98, 768.18, 789.27, 377070, 0.0
2020-12-21 23:00:00, 790.11, 816.84, 788.27, 815.5, 587319, 0.0
2020-12-22 23:00:00, 817.01, 826.81, 808.53, 808.83, 352335, 0.0
2020-12-23 23:00:00, 810.71, 812.34, 803.01, 806.735, 141886, 0.0
2020-12-27 23:00:00, 818.21, 819.99, 797.22, 805.35, 328970, 0.0
2020-12-28 23:00:00, 812.37, 820.3, 807.135, 814.39, 274075, 0.0
2020-12-29 23:00:00, 819.99, 822.15, 812.035, 815.75, 171027, 0.0
2020-12-30 23:00:00, 815.52, 821.025, 810.3074, 818.1, 248495, 0.0
2021-01-03 23:00:00, 825.84, 825.84, 788.88, 800.12, 487136, 0.0
2021-01-04 23:00:00, 793.89, 811.39, 789.39, 804.89, 340261, 0.0
2021-01-05 23:00:00, 795.28, 800, 786.86, 792.71, 544065, 0.0
2021-01-06 23:00:00, 798.87, 810.405, 790, 808.21, 312070, 0.0
2021-01-07 23:00:00, 804.22, 825.3948, 804.06, 818.75, 396668, 0.0
2021-01-10 23:00:00, 818.43, 818.43, 803.8401, 813.74, 315678, 0.0
2021-01-11 23:00:00, 811.34, 813.03, 788.3, 788.31, 516095, 0.0
2021-01-12 23:00:00, 787.37, 824, 786, 812.34, 707424, 0.0
2021-01-13 23:00:00, 814.29, 815.77, 795.05, 797.32, 419424, 0.0
2021-01-14 23:00:00, 800.06, 802.06, 777, 778.29, 654415, 0.0
2021-01-18 23:00:00, 785.09, 792, 775.4212, 778.27, 536777, 0.0
2021-01-19 23:00:00, 785.55, 801.67, 781.63, 798.88, 465335, 0.0
2021-01-20 23:00:00, 796.33, 802, 782.6, 799.43, 518486, 0.0
2021-01-21 23:00:00, 783.04, 789.22, 743.53, 744.08, 1691027, 0.0
2021-01-24 23:00:00, 747.41, 754.64, 735.64, 752.24, 999676, 0.0
2021-01-25 23:00:00, 754.48, 772.63, 753.015, 769.81, 924555, 0.0
2021-01-26 23:00:00, 760.4, 769.39, 746.9601, 758.73, 681635, 0.0
2021-01-27 23:00:00, 767.05, 778.24, 764.93, 765.3, 463196, 0.0
2021-01-28 23:00:00, 754.364, 761.1699, 741.5, 746.62, 489494, 0.0
2021-01-31 23:00:00, 752, 760.87, 740, 745.9, 551759, 0.0
2021-02-01 23:00:00, 753.66, 768.49, 753.66, 759.05, 437498, 0.0
2021-02-02 23:00:00, 754.99, 757.76, 744.61, 744.83, 431482, 0.0
2021-02-03 23:00:00, 750, 764.64, 745.26, 756.83, 662913, 0.0
2021-02-04 23:00:00, 764.6, 766.33, 760.5, 761.7, 351342, 0.0
2021-02-07 23:00:00, 768.26, 775.04, 761.86, 770, 360506, 0.0
2021-02-08 23:00:00, 772.99, 788.91, 770.78, 778.83, 420516, 0.0
2021-02-09 23:00:00, 787, 794.51, 778.9155, 788.08, 389576, 0.0
2021-02-10 23:00:00, 794, 800.4, 788.22, 798.79, 383184, 0.0
2021-02-11 23:00:00, 799.26, 808.42, 793.7916, 808.1, 363538, 0.0
2021-02-15 23:00:00, 810, 812.79, 788.89, 791.94, 413654, 0.0
2021-02-16 23:00:00, 782, 788.4, 774.42, 779.22, 318046, 0.0
2021-02-17 23:00:00, 774.57, 776.42, 757.79, 767.37, 451238, 0.0
2021-02-18 23:00:00, 773.25, 773.25, 749.68, 749.69, 619015, 0.0
2021-02-21 23:00:00, 751.79, 752.79, 737, 741.39, 484490, 0.0
2021-02-22 23:00:00, 742, 748.63, 732.1, 744.88, 492397, 0.0
2021-02-23 23:00:00, 743.73, 759.67, 738.285, 759.33, 333066, 0.0
2021-02-24 23:00:00, 754.86, 758.89, 731.9, 741.83, 348804, 0.0
2021-02-25 23:00:00, 743.9, 747.7042, 726.31, 736.92, 393360, 0.0
2021-02-28 23:00:00, 749.04, 760.77, 745.665, 759.23, 433997, 0.0
2021-03-01 23:00:00, 760, 760, 746.78, 750.62, 235887, 0.0
2021-03-02 23:00:00, 746.06, 746.06, 721.481, 727.6, 403734, 0.0
2021-03-03 23:00:00, 725, 727.24, 699.03, 709.18, 711113, 0.0
2021-03-04 23:00:00, 712.25, 718.44, 687.24, 713.36, 655043, 0.0
2021-03-07 23:00:00, 705.35, 710.57, 682.4, 684.9, 532931, 0.0
2021-03-08 23:00:00, 697.54, 710.25, 690.01, 702.8, 523670, 0.0
2021-03-09 23:00:00, 720.98, 727.61, 712.83, 719.8, 530023, 0.0
2021-03-10 23:00:00, 730.36, 738.98, 724.3569, 732, 390460, 0.0
2021-03-11 23:00:00, 721.12, 736.41, 720, 733.98, 402049, 0.0
2021-03-14 23:00:00, 727.32, 737.55, 725.05, 734.99, 305967, 0.0
2021-03-15 23:00:00, 740.41, 741.5, 721.51, 726.21, 315231, 0.0
2021-03-16 23:00:00, 724.33, 728.97, 712.8, 725.25, 235531, 0.0
2021-03-17 23:00:00, 715.72, 719.57, 695.06, 698.72, 569336, 0.0
2021-03-18 23:00:00, 701.5, 714.72, 695.39, 707.14, 543423, 0.0
2021-03-21 23:00:00, 707.72, 721.155, 703.14, 715.26, 244543, 0.0
2021-03-22 23:00:00, 719.14, 720.98, 707.65, 710.82, 236350, 0.0
2021-03-23 23:00:00, 712.17, 720.34, 705.49, 710.8, 335383, 0.0
2021-03-24 23:00:00, 710.6493, 714.42, 693.62, 704.5, 369958, 0.0
2021-03-25 23:00:00, 707.08, 731.84, 704.75, 730.75, 366678, 0.0
2021-03-28 23:00:00, 729.45, 734.14, 717.325, 723.87, 353138, 0.0
2021-03-29 23:00:00, 719.11, 728.99, 714.52, 727.07, 337671, 0.0
2021-03-30 23:00:00, 727.99, 743.93, 727.26, 739.28, 393728, 0.0
2021-03-31 23:00:00, 749.99, 758.07, 745.88, 747.59, 372708, 0.0
2021-04-04 23:00:00, 750.21, 770.63, 750.21, 765.93, 436685, 0.0
2021-04-05 23:00:00, 767, 776.265, 760.8, 767.3, 291321, 0.0
2021-04-06 23:00:00, 767.39, 771.015, 759.57, 761.02, 241847, 0.0
2021-04-07 23:00:00, 764.04, 774.1, 765.95, 770.63, 220005, 0.0
2021-04-08 23:00:00, 773.58, 786.32, 768.4801, 784.16, 279786, 0.0
2021-04-11 23:00:00, 778.13, 785.66, 777.315, 779.69, 261797, 0.0
2021-04-12 23:00:00, 778.95, 796.825, 778.95, 794.05, 290895, 0.0
2021-04-13 23:00:00, 792, 800.245, 784.8, 786.63, 257235, 0.0
2021-04-14 23:00:00, 792.66, 808, 789.3, 804.19, 323239, 0.0
2021-04-15 23:00:00, 807.65, 813.4, 801.85, 813.12, 426780, 0.0
2021-04-18 23:00:00, 810.62, 815.68, 802.52, 811.11, 405333, 0.0
2021-04-19 23:00:00, 806.66, 824.53, 806.65, 810.51, 513921, 0.0
2021-04-20 23:00:00, 842.98, 893.79, 820, 891.38, 1951334, 0.0
2021-04-21 23:00:00, 884.89, 887.885, 858.56, 858.88, 1011121, 0.0
2021-04-22 23:00:00, 851.19, 882.915, 842.72, 875.65, 743329, 0.0
2021-04-25 23:00:00, 869.93, 872.07, 860.174, 865.95, 460562, 0.0
2021-04-26 23:00:00, 868.04, 867, 858.5, 861.34, 429737, 0.0
2021-04-27 23:00:00, 862.57, 875.83, 860.98, 869.12, 463057, 0.0
2021-04-28 23:00:00, 873.7, 873.7, 857.82, 863, 292697, 0.0
2021-04-29 23:00:00, 859.27, 865.91, 855.27, 865.5, 336552, 0.0
2021-05-02 23:00:00, 872.14, 874.99, 860.14, 867.89, 291260, 0.0
2021-05-03 23:00:00, 861.72, 862.08, 834.105, 848.99, 529716, 0.0
2021-05-04 23:00:00, 854.13, 860.98, 836.53, 838.37, 386598, 0.0
2021-05-05 23:00:00, 834.26, 842.69, 825.66, 841.75, 336332, 0.0
2021-05-06 23:00:00, 844.14, 863.275, 844.14, 857.1, 410823, 0.0
2021-05-09 23:00:00, 859.88, 862, 833.06, 835.48, 404446, 0.0
2021-05-10 23:00:00, 823.16, 840.815, 820.99, 836.21, 421505, 0.0
2021-05-11 23:00:00, 828, 825.48, 804.27, 811.87, 467106, 0.0
2021-05-12 23:00:00, 815, 827.07, 813.21, 819.99, 309715, 0.0
2021-05-13 23:00:00, 822.9682, 839.435, 821.51, 833.58, 270983, 0.0
2021-05-16 23:00:00, 828.78, 828.78, 811.6, 816.91, 543751, 0.0
2021-05-17 23:00:00, 821.66, 824, 813.57, 814.13, 411891, 0.0
2021-05-18 23:00:00, 801.74, 817.03, 797.71, 816.58, 360225, 0.0
2021-05-19 23:00:00, 820.57, 836.91, 819.74, 832.66, 896613, 0.0
2021-05-20 23:00:00, 835.98, 843.01, 824.08, 824.705, 367965, 0.0
2021-05-23 23:00:00, 833.05, 840.36, 832.26, 834.92, 566752, 0.0
2021-05-24 23:00:00, 840.29, 846.76, 838.38, 846.42, 567731, 0.0
2021-05-25 23:00:00, 847.11, 849.69, 835.195, 839.56, 164386, 0.0
